timestamp,download_mbps,upload_mbps,ping_ms,jitter_ms,server
2026-05-12 02:29:14,18.25,18.33,38.09,5.41,Los Angeles; United States (1) (Clouvider)
2026-05-12 04:30:06,17.02,16.11,37.82,1.87,Los Angeles; United States (1) (Clouvider)
2026-05-12 06:30:58,17.71,19.82,35.18,2.28,Los Angeles; USA (Sharktech)
2026-05-12 08:31:51,17.62,16.72,37.45,1.58,Los Angeles; United States (1) (Clouvider)
2026-05-12 10:32:42,16.06,19.24,36.55,2.86,Los Angeles; USA (Sharktech)
2026-05-12 12:33:33,20.52,21.15,34.18,1.21,Los Angeles; United States (1) (Clouvider)
2026-05-12 14:34:26,19.27,21.83,35.27,3.01,Los Angeles; United States (1) (Clouvider)
2026-05-12 16:35:21,2.81,16.6,123.45,124.52,Las Vegas; USA (Sharktech)
2026-05-12 18:36:13,20.3,19.93,37.09,1.59,Los Angeles; United States (1) (Clouvider)
2026-05-12 20:37:04,19.52,21.74,39.0,14.09,Los Angeles; United States (1) (Clouvider)
2026-05-12 22:37:55,18.32,20.88,43.82,3.02,Las Vegas; USA (Sharktech)
2026-05-13 00:38:47,15.4,21.34,37.64,1.75,Los Angeles; USA (Sharktech)
2026-05-13 02:39:47,19.52,21.19,40.18,8.92,Los Angeles; United States (1) (Clouvider)
2026-05-13 04:40:39,17.06,20.43,42.45,11.51,Los Angeles; United States (1) (Clouvider)
2026-05-13 06:41:31,19.66,20.97,36.73,3.15,Los Angeles; United States (1) (Clouvider)
2026-05-13 08:42:22,17.73,20.37,35.64,3.85,Los Angeles; United States (1) (Clouvider)
2026-05-13 10:43:13,17.03,21.71,40.09,3.83,Los Angeles; USA (Sharktech)
2026-05-13 12:44:06,15.02,21.51,39.55,6.84,Los Angeles; USA (Sharktech)
2026-05-13 14:44:57,16.31,20.75,40.82,4.83,Los Angeles; USA (Sharktech)
2026-05-13 16:45:49,17.3,22.11,38.55,12.56,Los Angeles; United States (1) (Clouvider)
